id;documento;classe
1;Como enfileirar elementos em uma fila?;1
2;Como enfileirar elementos em uma pilha?;0
3;Como desenfileirar elementos em uma fila?;1
4;Como desenfileirar elementos em uma pilha?;0
5;Como empilhar elementos em uma pilha?;1
6;Como empilhar elementos em uma fila?;0
7;Como empilhar e desempilhar elementos em uma pilha?;1
8;Como empilhar e desempilhar elementos em uma fila?;0
9;Como empilhar elementos em uma estrutura de dados pilha?;1
10;Como empilhar elementos em uma estrutura de dados fila?;0
11;Como empilhar e desempilhar elementos em uma estrutura de dados pilha?;1
12;Como empilhar e desempilhar elementos em uma estrutura de dados fila?;0
13;Como desempilhar elementos em uma pilha?;1
14;Como desempilhar elementos em uma fila?;0
15;Como desempilhar elementos em uma estrutura de dados pilha?;1
16;Como desempilhar elementos em uma estrutura de dados fila?;0
17;O que é uma pilha e como empilhar seu elemento?;1
18;O que é uma fila e como empilhar seu elemento?;0
19;O que é uma fila e como enfileirar seu elemento?;1
20;O que é uma pilha e como enfileirar seu elemento?;0
21;O que é uma fila e como desenfileirar um elemento nela?;1
22;O que é uma pilha e como desenfileirar um elemento nela?;0
23;O que é uma pilha e como desempilhar um elemento nela?;1
24;O que é uma fila e como desempilhar um elemento nela?;0
25;O que é uma fila e como enfileirar um elemento nela?;1
26;O que é uma pilha e como enfileirar um elemento nela?;0
27;O que é uma pilha e como empilhar um elemento nela?;1
28;O que é uma fila e como empilhar um elemento nela?;0
29;O que é uma pilha e como empilhar e desempilhar seus elementos?;1
30;O que é uma fila e como empilhar e desempilhar seus elementos?;0
31;O que é uma fila e como enfileirar e desenfileirar seus elementos?;1
32;O que é uma pilha e como enfileirar e desenfileirar seus elementos?;0
33;Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha?;1
34;Como são implementadas as operações de empilhar e desempilhar elementos em uma fila?;0
35;Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila?;1
36;Como são implementadas as operações de enfileirar e desenfileirar elementos em uma pilha?;0
37;Em uma pilha a operação de empilhar ocorre em qual extremidade?;1
38;Em uma pilha a operação de enfileirar ocorre em qual extremidade?;0
39;Em uma fila a operação de enfileirar ocorre em qual extremidade?;1
40;Em uma fila a operação de empilhar ocorre em qual extremidade?;0
